ACTIVE LAYER THICKNESS,float
BED LOAD FOR ALL SANDS,bool
BED-LOAD TRANSPORT FORMULA FOR ALL SANDS,int
BETA,float
CLASSES CRITICAL SHEAR STRESS FOR MUD DEPOSITION,list of float
CLASSES SEDIMENT DENSITY,list of float
CLASSES SEDIMENT DIAMETERS,list of float
CLASSES SETTLING VELOCITIES,list of float
CLASSES SHIELDS PARAMETERS,list of float
CLASSES TYPE OF SEDIMENT,list of str
CONTINUITY CORRECTION,bool
FINITE VOLUMES,bool
FORMULA FOR DEVIATION,int
FORMULA FOR SLOPE EFFECT,int
LAYERS CRITICAL EROSION SHEAR STRESS OF THE MUD,float
LAYERS INITIAL THICKNESS,float
LAYERS MUD CONCENTRATION,float
LAYERS PARTHENIADES CONSTANT,float
MPM COEFFICIENT,float
NUMBER OF LAYERS FOR INITIAL STRATIFICATION,int
PRESCRIBED SOLID DISCHARGES,list of floats
RATIO BETWEEN SKIN FRICTION AND MEAN DIAMETER,float
SCHEME FOR ADVECTION OF SUSPENDED SEDIMENTS,int
SCHEME OPTION FOR ADVECTION OF SUSPENDED SEDIMENTS,int
SECONDARY CURRENTS,bool
SECONDARY CURRENTS ALPHA COEFFICIENT,float
SKIN FRICTION CORRECTION,int
SLOPE EFFECT,bool
SUSPENSION FOR ALL SANDS,bool
SUSPENSION TRANSPORT FORMULA FOR ALL SANDS,int
